FORRO  NACIONAIS ,RÉGUA 15/3 X 100 XCOMP. VARIAVEL,RÉGUA 15/3 X 150 X COMP. VARIAVEL,RÉGUA 15/3 X 190CM X COMP.VARIAVEL,R$ RÉGUA 19/4 X300 X COMP.VARIAVEL,X,X,X
,,,,,,,
TAUARI  NATURALLE ,"R$ 1.250,00","R$ 1.340,00","R$ 1.460,00","R$ 4.350,00",,,
TAUARI  MONT BLANC,"R$ 1.250,00","R$ 1.340,00","R$ 1.460,00","R$ 4.350,00",,,
TAUARI  MARRONE,"R$ 1.250,00","R$ 1.340,00","R$ 1.460,00","R$ 4.350,00",,,
TAUARI CAPUCCINO,"R$ 1.250,00","R$ 1.340,00","R$ 1.460,00","R$ 4.350,00",,,
TAUARI  BABY GREY,"R$ 1.250,00","R$ 1.340,00","R$ 1.460,00","R$ 4.350,00",,,
TAUARI  GRIGIO NERO ,"R$ 1.250,00","R$ 1.340,00","R$ 1.460,00","R$ 4.350,00",,,
TAUARI  LIGHT BROWN ,"R$ 1.250,00","R$ 1.340,00","R$ 1.460,00","R$ 4.350,00",,,
TAUARI   MILANO,"R$ 1.250,00","R$ 1.340,00","R$ 1.460,00","R$ 4.350,00",,,
TAUARI  SMOKED ,"R$ 1.250,00","R$ 1.340,00","R$ 1.460,00","R$ 4.350,00",,,
TAUARI  GIZ ,"R$ 1.250,00","R$ 1.340,00","R$ 1.460,00","R$ 4.350,00",,,
TAUARI  SNOW ,"R$ 1.250,00","R$ 1.340,00","R$ 1.460,00","R$ 4.350,00",,,
TAUARI  ARMANI,"R$ 1.250,00","R$ 1.340,00","R$ 1.460,00","R$ 4.350,00",,,
TAUARI  NEVADO ,"R$ 1.250,00","R$ 1.340,00","R$ 1.460,00","R$ 4.350,00",,,
TAUARI  ITALY BROWN ,"R$ 1.250,00","R$ 1.340,00","R$ 1.460,00","R$ 4.350,00",,,
TAUARI  BATMAN,"R$ 1.250,00","R$ 1.340,00","R$ 1.460,00","R$ 4.350,00",,,
SUCUPIRA NEGRA,"R$ 1.250,00","R$ 1.340,00","R$ 1.460,00","R$ 4.350,00",,,
PEROBINHA MICA,"R$ 1.250,00","R$ 1.340,00","R$ 1.460,00","R$ 4.350,00",,,
CUMARU,"R$ 1.250,00","R$ 1.340,00","R$ 1.460,00","R$ 4.350,00",,,
CATUABA,"R$ 1.250,00","R$ 1.340,00","R$ 1.460,00","R$ 4.350,00",,,
LORO PARDO,"R$ 1.050,00","R$ 1.180,00","R$ 1.350,00","R$ 4.350,00",,,
PEROBA DO CAMPO,"R$ 1.050,00","R$ 1.180,00","R$ 1.350,00","R$ 4.350,00",,,
