PISOS NACIONAIS ,RÉGUA 15/3 X 100 XCOMP. VARIAVEL,RÉGUA 15/3 X 150 X COMP. VARIAVEL,RÉGUA 15/3 X 190CM X COMP.VARIAVEL,R$ RÉGUA 19/4 X300 X COMP.VARIAVEL,ESPINHA DE PEIXE  1/6X120X600MM A 950MM 20% DE PERDA ,ESPINHA DE PEIXE  1/6X190X600MM A950MM 20% DE PERDA,CHEVRON 15/3 X 125X 740MM 20% DE QUEBRA,CHEVRON 15/3 X 190X 740MM
TAUARI  NATURALLE ,"R$ 850,00","R$ 940,00","R$ 1.050,00","R$ 2.450,00","R$ 1.050,00","R$ 1.200,00","R$ 1.380,00","R$ 1.480,00"
TAUARI  MONT BLANC,"R$ 850,00","R$ 940,00","R$ 1.050,00","R$ 2.450,00","R$ 1.050,00","R$ 1.200,00","R$ 1.380,00","R$ 1.480,00"
TAUARI  MARRONE,"R$ 850,00","R$ 940,00","R$ 1.050,00","R$ 2.450,00","R$ 1.050,00","R$ 1.200,00","R$ 1.380,00","R$ 1.480,00"
TAUARI CAPUCCINO,"R$ 850,00","R$ 940,00","R$ 1.050,00","R$ 2.450,00","R$ 1.050,00","R$ 1.200,00","R$ 1.380,00","R$ 1.480,00"
TAUARI  BABY GREY,"R$ 850,00","R$ 940,00","R$ 1.050,00","R$ 2.450,00","R$ 1.050,00","R$ 1.200,00","R$ 1.380,00","R$ 1.480,00"
TAUARI  GRIGIO NERO ,"R$ 850,00","R$ 940,00","R$ 1.050,00","R$ 2.450,00","R$ 1.050,00","R$ 1.200,00","R$ 1.380,00","R$ 1.480,00"
TAUARI  LIGHT BROWN ,"R$ 850,00","R$ 940,00","R$ 1.050,00","R$ 2.450,00","R$ 1.050,00","R$ 1.200,00","R$ 1.380,00","R$ 1.480,00"
TAUARI   MILANO,"R$ 850,00","R$ 940,00","R$ 1.050,00","R$ 2.450,00","R$ 1.050,00","R$ 1.200,00","R$ 1.380,00","R$ 1.480,00"
TAUARI  SMOKED ,"R$ 850,00","R$ 940,00","R$ 1.050,00","R$ 2.450,00","R$ 1.050,00","R$ 1.200,00","R$ 1.380,00","R$ 1.480,00"
TAUARI  GIZ ,"R$ 850,00","R$ 940,00","R$ 1.050,00","R$ 2.450,00","R$ 1.050,00","R$ 1.200,00","R$ 1.380,00","R$ 1.480,00"
TAUARI  SNOW ,"R$ 850,00","R$ 940,00","R$ 1.050,00","R$ 2.450,00","R$ 1.050,00","R$ 1.200,00","R$ 1.380,00","R$ 1.480,00"
TAUARI  ARMANI,"R$ 850,00","R$ 940,00","R$ 1.050,00","R$ 2.450,00","R$ 1.050,00","R$ 1.200,00","R$ 1.380,00","R$ 1.480,00"
TAUARI  NEVADO ,"R$ 850,00","R$ 940,00","R$ 1.050,00","R$ 2.450,00","R$ 1.050,00","R$ 1.200,00","R$ 1.380,00","R$ 1.480,00"
TAUARI  ITALY BROWN ,"R$ 850,00","R$ 940,00","R$ 1.050,00","R$ 2.450,00","R$ 1.050,00","R$ 1.200,00","R$ 1.380,00","R$ 1.480,00"
TAUARI  BATMAN,"R$ 850,00","R$ 940,00","R$ 1.050,00","R$ 2.450,00","R$ 1.050,00","R$ 1.200,00","R$ 1.380,00","R$ 1.480,00"
SUCUPIRA NEGRA,"R$ 850,00","R$ 940,00","R$ 1.050,00","R$ 2.450,00","R$ 1.050,00","R$ 1.200,00","R$ 1.380,00","R$ 1.480,00"
PEROBINHA MICA,"R$ 850,00","R$ 940,00","R$ 1.050,00","R$ 2.450,00","R$ 1.050,00","R$ 1.200,00","R$ 1.380,00","R$ 1.480,00"
CUMARU,"R$ 850,00","R$ 985,00","R$ 1.050,00","R$ 2.450,00","R$ 1.050,00","R$ 1.200,00","R$ 1.380,00","R$ 1.480,00"
CATUABA,"R$ 850,00","R$ 985,00","R$ 1.050,00","R$ 2.450,00","R$ 1.050,00","R$ 1.200,00","R$ 1.380,00","R$ 1.480,00"
LORO PARDO,"R$ 1.050,00","R$ 985,00","R$ 1.050,00","R$ 2.700,00","R$ 1.350,00","R$ 1.420,00","R$ 1.580,00","R$ 1.650,00"
PEROBA DO CAMPO,"R$ 1.050,00","R$ 985,00","R$ 1.050,00","R$ 2.700,00","R$ 1.350,00","R$ 1.420,00","R$ 1.580,00","R$ 1.650,00"
