Serviço,Tempo Padrão (Dias),Rendimento / Qtd,Unidade da Seção
FORRO BARROTE,1,30,M²
FORRO REVESTIMENTO INSTALAÇÃO RETA,1,15,M²
FORRO REVESTIMENTO RIPADO/ TOBELRONE,1,10,M²
PAINEL ESTRUTURA,1,30,M²
PAINEL RIPADO / TOBLERONE,1,20,M²
PAINEL CARVALHO INSTALAÇÃO RETA,1,30,M²
PISO INSTALAÇÃO RETA,1,25,M²
PISO ESCAMA DE PEIXE,1,15,M²
PISO MACIÇO,1,20,M²
PISO CHEVRON,1,15,M²
PISO VERSAILLES,1,10,M²
CORTINEIRO,1,10,M²
SANCA OU REFORÇO ESTRUTURA,1,10,M²
ESTRUTURA DECK,1,30,M²
DECK,1,20,M²
ESCADA,1,2,M²
PERGOLADO,1,"4,16",M²
BANCO,1,12,M²
IMPERMEABILIZAÇÃO,1,100,M²
SELADORA,1,100,M²
ACABAMENTO,1,100,M²
RASPAGEM/ REVITALIZAÇÃO/ LIXAMENTO,1,100,M²
RECORTES DIVERSOS,1,10,M²
RECORTES DE GRELHAS,1,30 ML,M²
RECORTES DE LUMINÁRIAS,1,20 ML,M²
ALÇAPÃO,1,10,M²
RODAPÉ,1,50 ML,M²
REMOÇÃO DO FORRO,1,30,M²
REMOÇÃO DO PISO,1,6 PÇ,M²
REGULARIZAÇÃO CONTRA PISO,1,10,M²
TABEIRA,1,50,ML
"Porta Pivotante ( 2,10 x 0,90)",1,2,UNIDADE
Porta de correr (trilhos),1,2,UNIDADE
"Porta de correr ( 2,10 x 0,90)",1,2,UNIDADE
"Porta de abrir ( 2,10 x 0,90)",1,1,UNIDADE
Porta camarão,1,2 Folhas,UNIDADE
Porta camarão,1,2 folhas,UNIDADE
Porta com batente e guarnição,1,4,UNIDADE
